Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
1959,SOUTH KOREA,"36.638392,127.6961188",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.g-SouthKorea.pdf
1959,INDIA,"22.3511148,78.6677428",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.f-India.pdf
1959,HIGH SEAS,"29.870151,-93.922369",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.e-Tapavica.pdf
1959,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.d-Poi.pdf
1959,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.c-Kalapiai.pdf
1959,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.b-Pasinganlas.pdf
1959,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.a-Morobe.pdf
1958,TURKEY,"38.9597594,34.9249653",NO INF,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.28-Constantinople.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.27-Taludig.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.23-Geldenhuys.pdf
1958,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.13-Weaver.pdf
1958,AMERICAN SAMOA,"-14.297124,-170.7131481",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.12-Samoa.pdf
1958,AUSTRALIA,"-24.7761086,134.755",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.11.23-Spronk.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.11.14-FalseBayFisherman.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.11.07.R-MbukeIsland.pdf
1958,USA,"39.7837304,-100.445882",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.11.05-boat-Shay.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.10.12-Allman_Collier.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.10.05-Evans.pdf
1958,MEXICO,"23.6585116,-102.0077097",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.10.00.b-Acapulco.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.10.00.a-EastNakanai.pdf
1958,HIGH SEAS,"29.870151,-93.922369",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.09.13-sailor.pdf
1958,BAHAMAS,"24.7736546,-78.0000547",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.09.06-Munn.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.09.01-Leszczak.pdf
1958,MEXICO,"23.6585116,-102.0077097",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.08.31-NV-Ensenada.pdf
1958,CROATIA,"45.3658443,15.6575209",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.08.01-Keller.pdf
1958,MEXICO,"23.6585116,-102.0077097",F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.31-Dreufus.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.27.b-RobertLawton.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.27.a-DouglasLawton.pdf
1958,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.10-Escartin.pdf
1958,KENYA,"1.4419683,38.4313975",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.08-Nakatani.pdf
1958,HIGH SEAS,"29.870151,-93.922369",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.04.b-Robinson.pdf
1958,HIGH SEAS,"29.870151,-93.922369",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.04.a-Brown.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.02-Hamlin.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.01-Toapindak.pdf
1958,BAHAMAS,"24.7736546,-78.0000547",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.00.b-Waterman.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.00.a-NV-Sarasota.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.26-Cockerill.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.24-Mahala.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.17-Irving.pdf
1958,AUSTRALIA,"-24.7761086,134.755",F,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.15-Swimmers.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.02-McGregor-Franken.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.30-Bowers.pdf
1958,TAIWAN,"23.9739374,120.9820179",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.19-Chang.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.05-Bester.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.03-Badenhorst.pdf
